players,nation,pos,club,age,weekly,mp,starts,minutes,90s,goals,assists,nonpkg,pkmade,pkatt,yellowcrd,redcrd,shots,shtont,shtont%,shot/90,shtont/90,goal/sht,goal/shtont,distance,fksht,plyrtkl,tklw,dribtkl,dribpast,press,blocks,shblck,passblck,int,tkl+int,clr,errleadsht,2yelcrd,fouls,fouldrwn,offsides,cross,pkwon,pkcon,og,recov,aerialwon,aeriallost,won%,sca,sca90,dribsa,fouldsa,defsa,gca,gca90,dribg,fouldg,defg,mn/mp,min%,cmplmatch,subbedon,mn/sub,unsub,ong,onga,passcomp,passatt,passcomp%,livepass,deadpass,fkpass,pasfrmtbck,unprpass,offpasses,outobound,intercpass,blckdpass,touches,succdrib,attdrib,succ%,plyrsdrib,nutmegs,totdist,prgdist,disposs,passtarg,passrecvd,passrec%,progpass
Max Aarons,ENG,DF,Norwich City,21,22500,34,32,2881,32,0,2,0,0,0,8,0,13,2,15.4,0.41,0.06,0,0,20.5,0,69,37,37,21,434,86,22,64,56,125,70,0,0,31,59,1,45,0,2,1,177,15,51,22.7,38,1.19,3,2,0,5,0.16,0,0,0,85,84.2,29,2,22,2,18,69,1087,1440,75.5,1102,338,27,2,173,7,28,52,56,1855,33,78,42.3,35,6,6382,3893,30,1153,1037,89.9,41
Rayan Ait Nouri,FRA,DF,Wolves,20,4423,23,20,1828,20.3,1,2,1,0,0,4,0,13,4,30.8,0.64,0.2,0.08,0.25,16.9,0,76,43,28,17,402,34,3,31,38,114,32,1,0,20,23,3,56,1,0,0,135,20,19,51.3,44,2.17,4,2,2,6,0.3,0,1,0,79,53.5,17,3,13,12,25,26,754,1003,75.2,788,215,16,1,135,2,28,33,31,1281,40,73,54.8,44,2,3704,2300,32,820,729,88.9,60
Kristoffer Ajer,NOR,DF,Brentford,23,22115,24,23,1995,22.2,1,3,1,0,0,5,0,7,1,14.3,0.32,0.05,0.14,1,9.1,0,40,22,20,16,206,36,13,23,49,89,81,1,0,18,19,0,12,0,0,0,186,63,38,62.4,28,1.26,1,1,1,6,0.27,1,1,0,83,58.3,17,1,45,3,29,32,629,873,72.1,721,152,8,0,138,4,23,33,40,1108,11,17,64.7,11,0,3385,2047,11,595,534,89.7,18
Nathan Ake,NED,DF,Manchester City,26,92308,14,10,923,10.3,2,0,2,0,0,0,0,5,2,40,0.49,0.2,0.4,1,5.8,0,15,5,4,3,70,12,5,7,18,33,31,0,0,8,5,0,0,0,0,0,78,41,8,83.7,3,0.29,0,0,0,0,0,0,0,0,66,27,8,4,25,22,19,3,780,855,91.2,813,42,16,0,71,0,10,7,8,936,0,2,0,0,0,3560,2226,1,754,724,96,2
Trent Alexander-Arnold,ENG,DF,Liverpool,22,180000,32,32,2853,31.7,2,12,2,0,0,2,0,51,14,27.5,1.61,0.44,0.04,0.14,23,5,44,24,23,36,288,39,5,34,76,120,43,1,0,16,9,11,127,0,0,0,319,18,22,45,150,4.73,5,1,0,17,0.54,0,0,0,89,83.4,30,0,,2,80,22,2013,2706,74.4,2155,551,90,20,237,6,38,102,77,3009,26,44,59.1,26,0,6044,3315,26,2017,1879,93.2,123
Marcos Alonso,ESP,DF,Chelsea,30,100000,28,25,2167,24.1,4,4,4,0,0,8,0,43,10,23.3,1.79,0.42,0.09,0.4,18.9,9,45,28,14,18,300,39,6,33,66,111,55,0,0,33,34,3,64,0,1,0,216,59,26,69.4,89,3.7,4,2,2,9,0.37,0,0,0,77,63.4,16,3,28,6,42,22,1132,1456,77.7,1162,294,26,1,234,3,25,48,42,1787,19,39,48.7,20,2,4917,2570,32,1182,1037,87.7,110
Daniel Amartey,GHA,DF,Leicester City,26,20962,28,23,2123,23.6,0,0,0,0,0,4,0,2,1,50,0.08,0.04,0,0,32.1,0,25,12,16,16,172,48,24,24,30,55,110,2,0,17,9,1,0,0,0,0,211,45,38,54.2,17,0.72,0,0,1,1,0.04,0,0,0,76,62.1,22,5,20,6,35,40,1353,1475,91.7,1447,28,21,0,137,2,9,22,18,1702,6,8,75,6,0,5166,2940,2,1263,1236,97.9,1
Joachim Andersen,DEN,DF,Crystal Palace,25,79423,34,32,2916,32.4,0,3,0,0,0,4,0,8,3,37.5,0.25,0.09,0,0,14,1,36,23,14,14,157,41,21,20,60,96,156,2,0,19,8,1,14,0,0,1,287,84,43,66.1,33,1.02,0,0,2,5,0.15,0,0,0,86,85.3,31,2,22,0,44,37,1813,2197,82.5,2115,82,74,2,186,5,55,52,14,2508,6,8,75,6,0,8962,4315,8,1808,1788,98.9,2
Luke Ayling,ENG,DF,Leeds United,29,8077,26,26,2272,25.2,2,2,2,0,0,4,1,19,3,15.8,0.75,0.12,0.11,0.67,12.8,0,79,45,49,52,392,49,28,21,54,133,68,1,0,28,24,2,25,0,1,0,263,49,51,49,22,0.87,0,0,0,3,0.12,0,0,0,87,66.4,23,0,,0,30,66,1218,1558,78.2,1384,174,36,2,209,9,29,70,26,1861,25,41,61,27,6,6509,3840,20,1198,1134,94.7,32
Cesar Azpilicueta,ESP,DF,Chelsea,31,150000,27,24,2070,23,1,2,1,0,0,3,0,13,4,30.8,0.57,0.17,0.08,0.25,13.6,0,54,31,21,22,356,62,11,51,37,91,71,1,0,29,8,2,37,0,1,0,169,52,34,60.5,44,1.91,2,0,0,8,0.35,1,0,0,77,60.5,16,3,20,7,36,23,1442,1713,84.2,1560,153,27,0,158,7,19,56,39,1958,15,20,75,15,1,5111,2994,8,1464,1388,94.8,54
Eric Bailly,CIV,DF,Manchester Utd,27,80000,4,3,217,2.4,0,0,0,0,0,1,0,0,0,,0,0,,,,0,8,3,1,1,21,5,2,3,8,16,10,0,0,2,0,0,0,0,0,1,23,5,2,71.4,1,0.41,0,0,0,0,0,0,0,0,54,6.3,1,1,17,17,5,4,64,80,80,76,4,4,0,10,0,1,2,2,113,0,2,0,0,0,313,142,3,54,53,98.1,0
Mads Bech Sorensen,DEN,DF,Brentford,22,4038,11,9,835,9.3,0,0,0,0,0,3,0,2,0,0,0.22,0,0,,10.5,0,12,7,5,1,73,10,6,4,9,21,28,0,0,9,4,0,18,0,1,0,100,14,10,58.3,9,0.97,0,0,0,0,0,0,0,0,76,24.4,7,2,45,14,9,14,388,500,77.6,425,75,4,0,37,1,7,12,11,562,0,0,,0,0,1796,1120,1,331,322,97.3,2
Jan Bednarek,POL,DF,Southampton,25,20000,31,30,2629,29.2,4,0,4,0,0,10,0,19,7,36.8,0.65,0.24,0.21,0.57,7.9,0,37,21,18,19,238,64,30,34,95,132,169,0,0,38,17,1,6,0,1,1,324,114,60,65.5,19,0.65,0,0,1,0,0,0,0,0,85,76.9,26,1,45,6,33,52,1185,1431,82.8,1349,82,42,0,184,1,32,17,10,1786,1,2,50,1,0,4166,1987,4,1001,979,97.8,4
Ryan Bertrand,ENG,DF,Leicester City,31,44231,4,4,337,3.7,0,0,0,0,0,1,0,0,0,,0,0,,,,0,9,4,4,1,75,11,3,8,3,12,7,0,0,5,1,0,1,0,0,0,17,3,5,37.5,2,0.53,0,0,0,0,0,0,0,0,84,9.9,3,0,,5,5,7,154,191,80.6,143,48,4,0,24,0,4,6,8,228,0,1,0,1,1,544,216,5,148,128,86.5,2
Willy Boly,CIV,DF,Wolves,30,50000,10,10,900,10,0,0,0,0,0,1,0,2,1,50,0.2,0.1,0,0,8,0,27,22,8,7,110,21,7,14,19,46,39,0,0,9,2,1,0,0,1,0,102,26,22,54.2,2,0.2,0,0,1,0,0,0,0,0,90,26.3,10,0,,14,13,20,450,541,83.2,523,18,13,0,51,1,13,12,3,649,4,5,80,4,0,1715,835,2,425,412,96.9,0
Jarrad Branthwaite,ENG,DF,Everton,19,15000,6,4,388,4.3,1,0,1,0,0,0,1,3,2,66.7,0.7,0.46,0.33,0.5,12.7,0,3,2,1,6,41,7,2,5,8,11,16,0,0,2,4,0,0,0,0,0,37,13,6,68.4,0,0,0,0,0,0,0,0,0,0,65,11.3,3,2,51,20,6,13,85,116,73.3,109,7,6,0,23,0,8,4,3,154,1,1,100,1,0,321,191,4,77,71,92.2,0
Dan Burn,ENG,DF,Newcastle Utd,29,19231,16,16,1440,16,0,1,0,0,0,4,0,11,1,9.1,0.69,0.06,0,0,9.3,0,25,12,8,4,144,33,16,17,29,54,114,0,0,13,5,5,1,0,0,0,173,90,28,76.3,4,0.25,0,0,0,1,0.06,0,0,0,90,42.1,16,0,,1,20,18,460,574,80.1,566,8,5,0,94,0,18,8,10,780,0,1,0,0,0,2038,789,2,399,384,96.2,2
Dan Burn,ENG,DF,Brighton,29,19231,13,12,1022,11.4,1,0,1,0,0,4,0,7,3,42.9,0.62,0.26,0.14,0.33,7.4,0,24,15,6,12,141,28,11,17,32,56,52,2,0,18,3,0,1,0,0,0,100,41,20,67.2,5,0.44,0,0,0,0,0,0,0,0,79,29.9,10,1,21,2,10,12,507,623,81.4,604,19,12,1,55,2,11,16,9,771,1,2,50,1,0,2347,1210,3,518,497,95.9,2
Sam Byram,ENG,DF,Norwich City,27,30000,15,11,1027,11.4,0,0,0,0,0,3,0,7,1,14.3,0.61,0.09,0,0,8.9,0,28,15,14,12,139,31,11,20,38,66,51,0,0,16,4,0,8,0,1,0,91,35,22,61.4,11,0.96,1,0,1,2,0.18,0,0,1,68,30,10,4,23,6,7,27,380,486,78.2,417,69,7,0,50,1,23,11,13,646,2,7,28.6,2,0,1570,791,3,345,321,93,11
Joao Cancelo,POR,DF,Manchester City,27,80000,36,36,3227,35.9,1,7,1,0,0,7,0,81,23,28.4,2.26,0.64,0.01,0.04,21.5,1,89,54,35,48,347,45,4,41,75,164,56,0,0,37,37,2,103,0,0,0,349,49,45,52.1,103,2.87,7,1,1,16,0.45,1,0,1,90,94.4,35,0,,1,88,25,2752,3282,83.9,2944,338,51,6,295,9,54,107,70,3714,53,105,50.5,59,12,11821,6458,29,2831,2719,96,127
Sergi Canos,ESP,DF,Brentford,24,15000,31,25,2083,23.1,3,2,3,0,0,8,1,33,12,36.4,1.43,0.52,0.09,0.25,16.4,1,57,22,23,37,460,40,3,37,33,90,38,0,1,32,20,5,52,0,0,1,182,14,31,31.1,35,1.51,2,1,0,5,0.22,0,0,0,67,60.9,9,6,19,2,25,35,452,748,60.4,696,52,10,4,133,1,24,36,59,1036,24,49,49,26,5,3683,2207,36,769,605,78.7,68
Matty Cash,POL,DF,Aston Villa,23,65000,38,38,3377,37.5,4,3,4,0,0,8,0,36,13,36.1,0.96,0.35,0.11,0.31,18.2,0,90,44,41,33,511,91,19,72,90,180,95,0,0,45,50,2,94,0,1,0,285,44,56,44,54,1.44,4,6,1,7,0.19,1,0,0,89,98.7,35,0,,0,52,50,1120,1586,70.6,1243,343,35,1,165,4,33,49,57,2069,21,36,58.3,23,3,6756,3573,49,1159,1033,89.1,105
Timothy Castagne,BEL,DF,Leicester City,25,63077,27,22,2127,23.6,1,0,1,0,0,1,0,7,3,42.9,0.3,0.13,0.14,0.33,14.5,0,66,29,23,21,349,53,8,45,38,104,65,2,0,18,13,1,27,0,0,0,181,44,32,57.9,25,1.06,0,1,0,1,0.04,0,1,0,79,62.2,20,5,39,2,42,30,1068,1292,82.7,1095,197,8,1,192,2,17,41,33,1565,13,19,68.4,13,0,3430,1764,18,1044,932,89.3,56
Craig Cathcart,NIR,DF,Watford,32,23462,31,27,2396,26.6,0,1,0,0,0,3,0,3,0,0,0.11,0,0,,8.4,0,33,15,16,18,165,55,32,23,38,71,129,2,0,14,7,0,3,0,0,0,219,63,42,60,5,0.19,0,0,0,0,0,0,0,0,77,70.1,24,4,8,4,28,55,742,917,80.9,865,52,10,0,109,2,18,14,9,1176,0,1,0,0,0,2216,1007,4,646,624,96.6,3
Trevoh Chalobah,ENG,DF,Chelsea,22,20000,20,17,1449,16.1,3,1,3,0,0,2,0,9,7,77.8,0.56,0.43,0.33,0.43,18.4,0,38,21,20,10,165,20,9,11,33,71,65,1,0,22,16,0,3,0,1,0,161,35,25,58.3,7,0.43,0,0,0,1,0.06,0,0,0,72,42.4,13,3,20,13,38,9,1138,1239,91.8,1206,33,25,2,109,1,7,15,7,1425,11,15,73.3,11,0,3946,1900,6,1075,1053,98,2
Calum Chambers,ENG,DF,Arsenal,26,26923,2,2,170,1.9,0,0,0,0,0,0,0,2,0,0,1.06,0,0,,20.3,0,2,1,1,2,24,11,3,8,3,5,7,1,0,1,1,0,2,0,0,0,14,3,2,60,1,0.53,0,0,0,0,0,0,0,0,85,5,1,0,,4,0,7,81,98,82.7,83,15,4,0,10,0,3,4,1,122,0,0,,0,0,239,106,2,73,71,97.3,0
Calum Chambers,ENG,DF,Aston Villa,26,26923,11,9,831,9.2,1,0,1,0,0,1,0,3,1,33.3,0.32,0.11,0.33,1,14.7,0,20,11,5,2,94,21,10,11,11,31,59,0,0,14,3,0,2,0,0,0,86,29,28,50.9,13,1.41,0,0,0,1,0.11,0,0,0,76,24.3,8,2,22,6,17,9,384,460,83.5,446,14,12,1,47,1,5,3,7,570,1,2,50,1,0,1522,842,1,361,350,97,1
Ben Chilwell,ENG,DF,Chelsea,24,190000,7,6,542,6,3,1,3,0,0,0,0,13,6,46.2,2.16,1,0.23,0.5,17.9,0,10,5,0,5,92,10,0,10,6,16,15,1,0,10,18,2,10,0,1,0,42,8,11,42.1,21,3.49,1,0,1,1,0.17,0,0,0,77,15.8,6,1,2,6,19,2,265,344,77,266,78,10,0,53,1,2,7,15,422,2,5,40,3,0,1089,518,3,296,257,86.8,30
Andreas Christensen,DEN,DF,Chelsea,25,80000,19,17,1496,16.6,0,0,0,0,0,2,0,5,0,0,0.3,0,0,,19.6,0,18,12,10,5,148,30,9,21,52,70,87,1,0,13,7,0,2,0,0,0,168,60,37,61.9,8,0.48,1,0,0,0,0,0,0,0,79,43.7,15,2,28,9,38,11,1166,1276,91.4,1229,47,32,1,149,0,10,17,8,1451,6,6,100,6,0,4427,2387,1,1047,1032,98.6,2
Ciaran Clark,IRL,DF,Newcastle Utd,31,35000,13,12,1014,11.3,0,1,0,0,0,2,1,7,1,14.3,0.62,0.09,0,0,7,0,17,13,9,6,76,14,10,4,15,32,50,0,0,6,7,1,3,0,1,0,86,34,15,69.4,5,0.44,0,0,0,1,0.09,0,0,0,78,29.6,10,1,23,4,14,26,276,348,79.3,340,8,6,0,37,3,10,7,5,449,3,4,75,3,0,1151,507,0,265,251,94.7,4
Nathaniel Clyne,ENG,DF,Crystal Palace,30,80769,16,15,1351,15,0,1,0,0,0,1,0,3,2,66.7,0.2,0.13,0,0,24.5,0,22,11,7,8,126,10,2,8,33,55,31,0,0,4,6,0,13,0,0,0,104,12,10,54.5,11,0.73,0,0,1,2,0.13,0,0,0,84,39.5,15,1,1,17,19,12,563,718,78.4,555,163,13,1,103,1,6,23,22,825,3,4,75,3,0,2145,1068,3,483,445,92.1,11
Conor Coady,ENG,DF,Wolves,28,16538,38,38,3361,37.3,4,0,4,0,0,4,0,12,4,33.3,0.32,0.11,0.33,1,11.7,0,31,18,12,14,197,64,50,14,44,75,150,0,0,21,3,2,2,0,0,0,235,39,29,57.4,7,0.19,0,0,0,0,0,0,0,0,88,98.3,35,0,,0,37,43,1471,1632,90.1,1592,40,39,0,126,3,17,21,10,1930,1,2,50,2,0,6291,2904,2,1344,1330,99,3
Seamus Coleman,IRL,DF,Everton,32,70000,30,30,2656,29.5,1,0,1,0,0,4,0,8,1,12.5,0.27,0.03,0.13,1,17.2,0,72,42,29,18,336,59,13,46,54,126,75,1,0,19,20,2,40,1,0,1,269,34,34,50,38,1.29,0,3,2,4,0.14,0,2,0,89,77.7,28,0,,4,34,50,913,1237,73.8,965,272,15,1,179,4,34,46,31,1550,26,44,59.1,29,0,4662,2319,26,806,712,88.3,45
Nathan Collins,IRL,DF,Burnley,20,10192,19,18,1670,18.6,2,0,2,0,0,2,1,15,5,33.3,0.81,0.27,0.13,0.4,8.4,0,30,23,9,14,161,48,26,22,37,67,102,1,0,20,14,4,4,0,1,0,231,83,44,65.4,17,0.92,1,1,0,1,0.05,0,0,0,88,48.8,17,1,51,17,17,25,463,642,72.1,615,27,11,2,102,2,25,12,5,874,3,8,37.5,4,0,2338,1001,4,399,372,93.2,8
Liam Cooper,SCO,DF,Leeds United,29,6538,21,21,1814,20.2,0,1,0,0,0,5,0,5,1,20,0.25,0.05,0,0,10.2,0,35,18,15,12,201,32,18,14,40,75,117,3,0,19,13,2,1,0,1,0,253,92,43,68.1,9,0.45,0,1,0,2,0.1,0,0,0,86,53,20,0,,1,20,26,958,1123,85.3,1085,38,33,0,120,2,20,16,13,1352,3,3,100,3,0,4090,2294,3,823,808,98.2,2
Vladimir Coufal,CZE,DF,West Ham,28,35000,28,25,2209,24.5,0,4,0,0,0,5,1,11,4,36.4,0.45,0.16,0,0,17,0,44,22,16,21,301,50,9,41,34,78,74,0,1,30,20,2,80,0,0,1,265,40,42,48.8,46,1.87,0,1,1,7,0.29,0,0,0,79,64.6,21,3,13,3,42,35,982,1417,69.3,1125,292,18,0,146,8,30,48,57,1668,13,28,46.4,14,0,4589,2281,17,982,881,89.7,47
Aaron Cresswell,ENG,DF,West Ham,31,50000,31,31,2726,30.3,2,3,2,0,0,3,0,18,3,16.7,0.59,0.1,0.11,0.67,19.9,8,30,19,14,13,213,48,17,31,43,73,76,1,0,20,13,2,63,0,1,0,243,36,30,54.5,49,1.62,0,0,0,5,0.17,0,0,0,88,79.7,29,0,,0,44,38,1641,2047,80.2,1705,342,57,0,209,10,29,57,56,2291,3,13,23.1,3,3,5955,2964,11,1520,1465,96.4,29
Charlie Cresswell,ENG,DF,Leeds United,18,2115,5,1,141,1.6,0,0,0,0,0,1,0,1,0,0,0.64,0,0,,10,0,7,3,3,0,29,2,1,1,4,11,10,0,0,3,2,1,0,0,0,0,17,7,3,70,1,0.64,0,0,0,0,0,0,0,0,28,4.1,1,4,13,26,4,4,72,96,75,95,1,1,0,8,1,1,0,2,120,1,1,100,1,0,552,353,0,78,78,100,1
Marc Cucurella,ESP,DF,Brighton,23,50000,35,35,3089,34.3,1,1,1,0,0,6,0,18,3,16.7,0.52,0.09,0.06,0.33,20.9,0,88,62,48,29,534,72,15,57,72,160,66,0,0,35,36,3,94,0,0,0,348,54,46,54,78,2.27,1,1,1,2,0.06,0,0,0,88,90.3,32,0,,0,37,39,1895,2322,81.6,1956,366,19,1,327,6,28,78,81,2691,31,59,52.5,35,8,8187,5158,32,1814,1637,90.2,68
Diogo Dalot,POR,DF,Manchester Utd,22,25000,24,19,1801,20,0,0,0,0,0,4,0,13,4,30.8,0.65,0.2,0,0,21.2,0,58,33,27,17,232,37,12,25,44,102,61,0,0,20,7,1,46,0,0,0,178,38,22,63.3,37,1.85,2,1,0,5,0.25,0,0,0,75,52.7,18,5,21,13,28,29,934,1171,79.8,987,184,11,3,143,3,16,43,26,1402,16,28,57.1,18,2,3969,2350,15,887,824,92.9,42
Ben Davies,WAL,DF,Tottenham,28,60000,29,28,2538,28.2,1,1,1,0,0,6,0,19,7,36.8,0.67,0.25,0.05,0.14,16.3,0,40,18,12,22,269,39,18,21,45,85,93,0,0,33,23,5,9,0,1,0,201,77,49,61.1,29,1.03,0,0,0,4,0.14,0,0,0,88,74.2,26,1,31,8,57,30,1375,1600,85.9,1518,82,35,0,169,1,18,40,34,1854,8,11,72.7,8,1,7311,4438,10,1373,1316,95.8,30
Craig Dawson,ENG,DF,West Ham,31,42500,34,30,2754,30.6,2,2,2,0,0,5,1,25,5,20,0.82,0.16,0.08,0.4,7.7,0,33,21,12,15,199,66,55,11,30,63,145,1,0,40,12,1,1,0,2,0,265,103,56,64.8,11,0.36,1,0,0,5,0.16,0,0,0,81,80.5,28,4,21,3,48,42,1015,1234,82.3,1203,31,26,0,161,4,31,30,8,1541,2,2,100,2,0,4229,1975,6,954,933,97.8,6
Ruben Dias,POR,DF,Manchester City,24,160000,29,27,2402,26.7,2,4,2,0,0,5,0,18,4,22.2,0.67,0.15,0.11,0.5,10.6,0,34,27,7,9,153,28,13,15,38,72,78,1,0,30,10,2,5,0,0,0,217,53,36,59.6,30,1.12,0,0,1,6,0.22,0,0,0,83,70.2,24,2,32,2,69,18,2097,2224,94.3,2175,49,36,3,161,2,13,18,11,2427,2,5,40,2,1,10636,6630,2,1981,1952,98.5,8
Eric Dier,ENG,DF,Tottenham,27,72308,35,35,3071,34.1,0,0,0,0,0,1,0,13,4,30.8,0.38,0.12,0,0,13.5,4,25,13,4,9,181,56,38,18,47,72,168,0,0,18,13,0,3,0,0,1,240,89,51,63.6,28,0.82,0,0,2,4,0.12,0,0,0,88,89.8,34,0,,0,64,30,1969,2226,88.5,2174,52,42,4,163,7,27,36,16,2535,0,2,0,1,0,9307,5223,2,1928,1903,98.7,5
Lucas Digne,FRA,DF,Aston Villa,28,163462,16,16,1269,14.1,0,4,0,0,0,2,0,9,2,22.2,0.64,0.14,0,0,17.8,1,19,10,7,11,157,29,8,21,32,51,42,0,0,21,23,3,62,0,0,0,120,25,21,54.3,46,3.26,1,0,0,7,0.5,0,0,0,79,37.1,13,0,,0,21,20,632,823,76.8,628,195,19,0,107,0,12,25,30,986,4,13,30.8,7,2,2435,1341,17,606,541,89.3,54
Lucas Digne,FRA,DF,Everton,28,163462,13,13,1170,13,0,0,0,0,0,4,0,9,1,11.1,0.69,0.08,0,0,21.1,3,35,17,22,8,161,28,5,23,31,66,30,0,0,17,11,0,34,0,0,1,138,25,14,64.1,33,2.54,1,1,0,0,0,0,0,0,90,34.2,13,0,,1,16,22,487,678,71.8,515,163,23,0,90,3,19,26,35,823,6,12,50,6,0,2075,1141,10,429,385,89.7,21
Virgil van Dijk,NED,DF,Liverpool,30,220000,34,34,3060,34,3,1,3,0,0,3,0,35,13,37.1,1.03,0.38,0.09,0.23,11.8,1,21,12,11,4,124,31,16,15,47,68,135,1,0,10,12,0,0,0,0,0,410,135,40,77.1,24,0.71,0,0,0,6,0.18,0,0,0,90,89.5,34,0,,1,84,21,2287,2520,90.8,2449,71,64,0,217,2,23,24,10,2802,3,4,75,3,0,6903,3629,5,2063,2027,98.3,8
Issa Diop,FRA,DF,West Ham,24,66923,13,10,963,10.7,0,1,0,0,0,0,0,2,2,100,0.19,0.19,0,0,7.6,0,9,3,2,8,72,23,15,8,17,26,44,0,0,6,5,1,1,0,0,0,96,19,20,48.7,2,0.19,0,0,0,1,0.09,0,0,0,74,28.2,9,3,22,21,19,19,404,469,86.1,455,14,7,1,48,0,9,4,1,568,0,0,,0,0,1927,934,1,353,344,97.5,0
Matt Doherty,IRL,DF,Tottenham,29,65385,15,9,875,9.7,2,4,2,0,0,0,0,16,6,37.5,1.65,0.62,0.13,0.33,13.8,0,18,12,7,5,120,24,2,22,17,35,15,0,0,14,4,0,20,0,0,0,72,17,9,65.4,23,2.37,1,0,0,4,0.41,0,0,0,58,25.6,6,6,26,13,27,11,440,538,81.8,473,65,5,2,72,1,5,29,17,644,6,9,66.7,6,0,1991,1192,8,461,425,92.2,40
Gabriel Magalhaes,BRA,DF,Arsenal,23,50000,35,35,3063,34,5,0,5,0,0,8,1,30,12,40,0.88,0.35,0.17,0.42,11,0,57,37,23,12,222,49,28,21,39,96,117,3,1,24,43,1,4,0,0,0,250,68,38,64.2,22,0.65,0,0,1,1,0.03,0,0,0,88,89.6,31,0,,0,61,37,1796,2002,89.7,1943,59,36,1,178,6,29,25,13,2300,3,3,100,3,0,9846,5517,3,1745,1705,97.7,8
Shane Duffy,IRL,DF,Brighton,29,40000,18,15,1436,16,1,0,1,0,0,7,0,21,5,23.8,1.32,0.31,0.05,0.2,9.4,0,16,9,5,8,85,35,19,16,18,34,91,1,0,20,7,1,0,0,0,0,152,81,23,77.9,8,0.5,0,0,0,2,0.13,0,0,0,80,42,15,3,29,12,15,19,894,1007,88.8,987,20,12,0,82,1,16,13,6,1192,2,2,100,2,0,2879,1502,1,859,840,97.8,2
Paul Dummett,WAL,DF,Newcastle Utd,29,35000,3,2,198,2.2,0,0,0,0,0,2,0,0,0,,0,0,,,,0,9,4,5,3,31,3,0,3,4,13,9,1,0,4,3,0,3,0,0,0,10,3,3,50,1,0.45,0,0,0,0,0,0,0,0,66,5.8,1,1,46,13,1,1,51,68,75,49,19,1,0,7,0,0,4,1,91,0,0,,0,0,151,72,0,37,36,97.3,0
Lewis Dunk,ENG,DF,Brighton,29,45000,29,29,2573,28.6,1,0,1,0,0,3,1,19,7,36.8,0.66,0.24,0.05,0.14,10,0,20,11,6,7,125,42,27,15,46,66,119,3,0,8,6,0,6,0,0,0,257,91,44,67.4,15,0.52,0,0,0,2,0.07,0,0,0,89,75.2,28,0,,1,32,32,1676,1881,89.1,1823,58,53,1,140,2,29,35,12,2123,5,6,83.3,6,0,7109,3353,4,1575,1548,98.3,1
Emerson,BRA,DF,Tottenham,22,41731,31,26,2286,25.4,1,1,1,0,0,5,0,15,4,26.7,0.59,0.16,0.07,0.25,14.6,0,86,39,28,32,500,56,4,52,35,121,79,0,0,38,53,2,60,0,0,0,211,41,42,49.4,49,1.93,4,1,2,4,0.16,0,0,0,74,66.8,17,5,16,3,43,26,1178,1441,81.7,1175,266,25,0,199,1,13,37,57,1774,18,27,66.7,18,0,4568,2506,30,1147,1015,88.5,89
Jonny Evans,NIR,DF,Leicester City,33,80000,18,16,1348,15,1,1,1,0,0,3,0,3,2,66.7,0.2,0.13,0.33,0.5,5.7,0,27,18,16,12,123,22,13,9,31,58,61,0,0,16,12,0,3,0,0,0,180,53,18,74.6,8,0.53,0,0,0,2,0.13,0,0,0,75,39.4,12,2,29,2,27,23,812,976,83.2,936,40,32,1,129,2,22,20,7,1106,1,2,50,1,0,3133,1564,1,739,721,97.6,2
Kiko Femenia,ESP,DF,Watford,30,22500,27,26,2142,23.8,0,5,0,0,0,2,0,3,1,33.3,0.13,0.04,0,0,19.6,0,43,26,24,17,227,39,10,29,63,106,61,0,0,16,16,2,55,0,0,0,207,21,25,45.7,39,1.64,0,0,0,6,0.25,0,0,0,79,62.6,17,1,25,0,21,49,856,1196,71.6,889,307,28,1,103,2,27,38,37,1424,8,17,47.1,8,2,3664,1783,10,731,663,90.7,19
Nathan Ferguson,ENG,DF,Crystal Palace,20,28846,1,0,9,0.1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,9,0.3,0,1,9,3,0,0,3,5,60,3,2,0,0,1,0,0,0,0,5,0,0,,0,0,0,0,0,1,1,100,0
Federico Fernandez,ARG,DF,Newcastle Utd,32,47308,7,5,523,5.8,0,0,0,0,0,0,0,6,1,16.7,1.03,0.17,0,0,9.2,0,1,1,0,6,33,11,9,2,13,14,23,0,0,2,2,0,0,0,0,0,34,10,5,66.7,3,0.52,0,0,0,1,0.17,0,0,0,75,15.3,4,2,43,11,7,12,183,214,85.5,207,7,5,0,20,0,4,4,1,267,0,0,,0,0,845,506,1,178,174,97.8,2
Junior Firpo,ESP,DF,Leeds United,24,42308,24,19,1711,19,0,2,0,0,0,11,0,12,1,8.3,0.63,0.05,0,0,13.3,0,73,38,33,35,356,37,8,29,33,106,47,0,0,50,20,1,27,0,0,1,143,33,21,61.1,43,2.26,1,1,2,4,0.21,0,0,1,71,50,11,5,47,1,18,49,775,931,83.2,777,154,10,0,133,4,13,32,19,1162,10,21,47.6,10,1,3380,2177,12,726,659,90.8,47
Wesley Fofana,FRA,DF,Leicester City,20,19231,7,7,630,7,0,0,0,0,0,2,0,3,1,33.3,0.43,0.14,0,0,8,0,10,5,7,2,56,6,2,4,16,26,28,1,0,9,8,0,0,0,0,0,76,23,12,65.7,4,0.57,0,0,0,0,0,0,0,0,90,18.4,7,0,,2,13,7,452,504,89.7,494,10,8,0,57,0,8,9,4,569,2,2,100,2,0,2837,1641,4,425,419,98.6,1
